                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2793,                 5.1333,                 1.7292,                0.00204,                0.19286,                0.01567,                0.00371,                 2.1469,                 4.6244,                 1.9071,             0.00041675,             0.00041675,             0.00041675
                      2,                 2.1123,                 3.9081,                 1.6006,                0.00208,                0.16429,                0.00759,                0.00156,                 2.0522,                 4.5085,                 1.5705,             0.00084175,             0.00084175,             0.00084175
                      3,                 2.0691,                 3.2757,                 1.6097,                0.00082,                0.09286,                0.01399,                0.00278,                 2.0933,                 4.0571,                 1.7058,              0.0012582,              0.0012582,              0.0012582
                      4,                 1.9674,                 2.8694,                 1.5711,                0.00082,                 0.0947,                0.01378,                0.00468,                 2.3617,                 4.1252,                 1.7392,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.9546,                 2.7677,                 1.5658,                0.72744,                0.14792,                0.62289,                0.34374,                 1.9887,                 2.9847,                 1.6414,               0.001601,               0.001601,               0.001601
                      6,                 1.9015,                 2.4988,                 1.5041,                0.58046,                0.59968,                 0.5833,                0.35892,                 2.0916,                 2.3577,                 1.7517,              0.0015845,              0.0015845,              0.0015845
                      7,                 1.8499,                 2.2306,                 1.4917,                0.62439,                0.67821,                 0.6124,                0.36333,                 2.0119,                 2.0491,                 1.6472,               0.001568,               0.001568,               0.001568
                      8,                 1.8119,                 2.0693,                 1.4539,                0.63952,                0.69286,                0.63962,                0.34398,                 1.9449,                 1.8123,                 1.5866,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.7953,                  1.916,                 1.4742,                0.63819,                    0.7,                0.62502,                0.35621,                 1.9459,                 1.7017,                 1.5653,               0.001535,               0.001535,               0.001535
                     10,                   1.74,                 1.8461,                 1.4287,                0.58897,                0.67143,                0.59441,                0.36612,                 2.0403,                 1.6014,                 1.6941,              0.0015185,              0.0015185,              0.0015185
                     11,                 1.7035,                 1.7362,                 1.3973,                0.66406,                0.66429,                0.61685,                0.35539,                 1.9566,                  1.669,                 1.6225,               0.001502,               0.001502,               0.001502
                     12,                 1.7133,                 1.6416,                 1.3865,                0.68171,                0.63571,                0.64829,                0.35949,                 2.0352,                 1.5494,                 1.6301,              0.0014855,              0.0014855,              0.0014855
                     13,                 1.6952,                 1.5543,                 1.3894,                0.82339,                0.73617,                0.76662,                0.42225,                 1.8564,                 1.4096,                 1.5407,               0.001469,               0.001469,               0.001469
                     14,                 1.6664,                 1.5215,                 1.3619,                0.68383,                0.67857,                0.67009,                0.36906,                 1.8883,                 1.4331,                 1.4979,              0.0014525,              0.0014525,              0.0014525
                     15,                 1.6271,                 1.4923,                 1.3627,                 0.7657,                0.71429,                0.73346,                0.39328,                 1.9465,                 1.5998,                 1.6124,               0.001436,               0.001436,               0.001436
                     16,                 1.6239,                 1.4195,                 1.3439,                0.78189,                0.72143,                0.72156,                0.40792,                 1.9413,                 1.4506,                 1.6683,              0.0014195,              0.0014195,              0.0014195
                     17,                 1.5884,                 1.3627,                 1.3275,                 0.6989,                0.72143,                0.68223,                0.36855,                 1.9057,                 1.5657,                 1.5576,              0.0014029,              0.0014029,              0.0014029
                     18,                 1.5742,                 1.3449,                 1.3244,                0.68819,                0.74041,                0.69213,                0.39437,                 2.0476,                 1.6427,                 1.8163,              0.0013864,              0.0013864,              0.0013864
                     19,                 1.5454,                 1.2725,                 1.3094,                0.70349,                0.75714,                 0.7113,                0.40575,                 2.0665,                 1.4303,                 1.7923,              0.0013699,              0.0013699,              0.0013699
                     20,                 1.5228,                 1.2857,                 1.2891,                0.68503,                0.71429,                0.69603,                0.40576,                 1.8665,                  1.417,                 1.6081,              0.0013534,              0.0013534,              0.0013534
                     21,                 1.5232,                 1.2306,                 1.2731,                0.71084,                0.71937,                0.70703,                0.40506,                  1.933,                 1.3633,                 1.7119,              0.0013369,              0.0013369,              0.0013369
                     22,                 1.5175,                  1.225,                 1.2939,                0.67108,                0.75714,                0.71031,                0.39068,                 1.9316,                 1.3728,                 1.6224,              0.0013204,              0.0013204,              0.0013204
                     23,                 1.4599,                 1.1379,                 1.2535,                0.71357,                0.76085,                0.72064,                0.40603,                  1.874,                 1.3663,                 1.6205,              0.0013039,              0.0013039,              0.0013039
                     24,                 1.4776,                 1.0955,                 1.2486,                0.66992,                0.79286,                0.72249,                0.41126,                 1.9293,                 1.3897,                 1.6359,              0.0012874,              0.0012874,              0.0012874
                     25,                 1.4548,                 1.0784,                 1.2233,                0.75365,                0.75714,                0.73141,                0.41805,                 1.8855,                 1.3424,                 1.6001,              0.0012709,              0.0012709,              0.0012709
